"im piecing together. could way off. fantastic four post credit doom post credit fantastic four doom franklin theyll pick well see fantastic four lose doom. franklin taken. reed team build ship travel multiverse follow him. doom told franklin key saving multiverse. travel recruit. steve rogers teaser scene steve could doom trying recruit, much like might tried fantastic four, but take child instead. leverage? powers? knows. reed recruit steve. xmen teaser think xmen fantastic four captain america initially fight. reed warns doom incursion magneto die preventing incursion. could cause destruction. comic polaris sugar man use power boost magneto push incoming earth collision course 616 back. magneto referring accepting death trailer black king accepting checkmate chess board. xmen film briefly. well get spectacular scene fantastic four captain america fighting xmen. captain america vs. wolverine. nightcrawler vs. reed. gambit, beast, monica rambeau others there. xmen mostly part film. charles maybe beast play larger roles. monica, beast, charles leave ff cap. thor prayer thor prayer likely doom tried recruit him. instead, took love. another powerful child. dont see connection comic teaser film scene. wakandaff teaser location final teaser talokan necropolis. thus, desert. could xmen. comic time namor black panther went war. even war, meeting illuminati uneasy truce. illuminati met tchalla exiled. necropolis. black panther film showed wakandan city dead, necropolis. comic described wakandans go die. but perhaps namors peoples. desert. talokans sent die. time catch namor shuri ally traded technology. meeting site illuminati. charles, hank, reed, namor, shuri, steve. shuri likely giving wakanda forever arm sign steve. theyve met. likely wont call illuminati, but meeting location thats reference. could still wakanda, but black panther wakanda forever necropolis location dont appear same. wakandan necropolis also thanos, namor, cabal meet namor betrays illuminati help cabal destroy incursion bound earth, saving 616 universe giving time. point namor could go doom help destroy another earth preventing incursion. maybe even loki, sentry, others, forming cabal. thunderboltsnew avenger post credit scene feel like happens last. number established character plot thus far introducing new avenger ill call mighty avenger would make everything convoluted. say doom might others whole time posing tony. illuminati, lack better name arrive new avenger go meet them, intercepted sam mighty avenger fight break out. stop sight steve possibly tony, doom disguise, reunion happen. feel like thor come story again. arrives via bifrost. everyone together again. speculation climaxresolution tony reveals doom. mask, point well likely never see face. think theyll use doomtony film rdj face time, but climax film reveal he victor von doom. rdj great voice accent likely clearly distinct tony. wont connection two. high jack sentry void power escape void.this children, doom, void direct connection void loki deadpool wolverine start building battleworld destroyed universes. likely namor loki, cabal. loki connection sacred timeline likely come play building battleworld. scene shift back heroes. final incursion begins. ship designed withstand multiversal collapse, need escape impact. ship escaping collision two earth would visually stunning display cataclysmic destruction, ship struggling get far enough would play like end indepence day. everything go white. film logo appears, somber version avenger theme infinity war credit plays. post credit scene doctor strange bruce someone didnt see film wake bed. dont recognize are. open curtain reveal theyre voidbattleworld. note end might see doom throne white robe referencing secret wars. strange right hand man wouldnt question. dont think exactly go, but closest interpretation based everything weve gotten now.",-1
point break finally here!,0
finally know thor cry,-1
thor dead,-1
0036 hit hard,-1
structure god krishna song download song brother,1
thor short hair become serious praying strength,1
ah one really gonna sting guys..,0
dr doom variant tony stark,-1
finally old thor back,0
serious thor back?,-1
thor praying lose love,1
back....,0
return avenger doomsday,-1
finally goat get something always deserved,0
one man army coming iron man,0
"yawn, day avanger movie over... something new",0
serious thor!!! finally,-1
"hello, marvel studios! please add ambient sound stream.",1
thor bring doom,-1
think template thor would stolen passion christ.,1
please keep thor serious like this.,1
see back season 1 thor.,0
"think thor got unworthy, short hair, like unworthy thor storyline, ragnarok hair got cut forcefully but thor cutting hair intentionally mean unworthy. event unworthy thor took place gorr saga comics, nick fury said gorr right thor, maybe someone else said thor, gorr last villain thor fought, end thor 4, thor using mjolnir, but carrying stormbreaker, defeat villain like doom would need weapons, carrying axe another indication unworthy.",-1
005 baba,0
greatest comeback ever,1
got serious thor,-1
omg feel marvel fan coming back dead,-1
,0
"wait , marvel, really thor praying power defeat dr.doom",1
thor,0
"yall, skipped love thunder, eye blue??",1
girl dad!thor,0
"defeat one enemy. aint truth. victor von doom villain villains, even thanos, fear.",-1
"doesnt say marvel entertainment, im not clicking im sick tired terrible concept trailers!",-1
please leave long beard long hair,1
bro doom thor knee praying like this?,1
scene take place beginning act 3. love connected universe eternity. shes dying universe dying enemy thor talking former friend wont risk life he fighting doom. listen speech again. fit,-1
yoooo finally getting endgame thor deservedhopefully dont fumble lol,1
heart beating like deccceemmmberrrr,-1
"alien genetically superior u like black people ,are slave too?",1
level,0
bro dont tell next iron man return.... doctor doom???????,0
god thunder praying god! seriously doomed!,-1
staff hurryyyyyy upppppppp,0
movie finished,0
,0
027 040,0
oh fear see chris hemsworths best portrayal thor. cuz cry 60 seconds.,-1
no thor cartoon network,-1
2 blue eyes?,0
2008 rdj started mcu iron man 2026 rdj ending mcu dr doom,-1
rune god thor incoming,1
doomsday. steve rogers,0
seriousness tear,-1
040 face expression,0
im hyped movie. please allfathers grant ability renew faith mcu.,1
"dr. dhoom take away super special kid marvel world fantastic 4 kid, thor kid, ...and probably, captain america kid.",1
finally real thor back!!! true hero,1
felt,0
internet crash soon...,-1
hype reason theyre really making dr.doom dangerous threat doomsday hope mean kill thanos least different version preferably strongest beginning movie,-1
please no try hard funny thor please . trailer one give chilled .,1
odinsons,0
wouldnt happen jonathan major didnt assault girlfriend.,1
old man fool,-1
wakandans met fantastic four ??,1
15 january attending,0
far trailer look amazing! love seriousness sick sillychildish humor infected marvel recent years.,1
thor shouldve gotten love thunder,1
wack!,0
reason playlist reversed?,0
"father, pls remind go head end",1
partner said look like head police. need hair back.,1
hulk come not ??? please make hulk back plzzzzzzzz,-1
dont think thor gonna make it. got feelin .,0
daughter love grant thor necessary strength power face battle ahead,1
dont make clown time. give u thor,0
father give strength,1
anyone else prayed thor this?,0
"dad thor, but like badass haircut dad thor",1
"lowkey wasnt hyped doomsday, but teaser perfect way give hype everything. movie, characters, arcs. nothing short stroke genius",1
gonna god emperor doom thor praying,1
theyre definitely gonna hit u 3 parter.,1
"thor look better endgame final battle look, long hair long beard, god. short hair make sense back infinity war 2018 thor ragnorak 2017 old men cut hair off.",-1
consume product due corporate trailer meant build emotion consume product,0
black panther fantastic four teaser,1
"love thunder ruined depiction gorr story arc, thor way sit one out?",1
thor eye green isnt infinity war endgame ?? rocket gave green one remember,-1
dc comic better step game,1
like trailer less joke emotion towards goal,1
beautiful acting chris,1
comic book 1000x better,1
no one gonna talk whats seen 112 video?,-1
thor sound like gladiator???,1
aiight best one guy let real,1
l cosmic,0
"time traveller fix chair, rdj hate 3000",-1
not scared dr doom!,-1
prayer,0
cope prayer. doomed black girl magic,-1
"thanks, scandinavia, giving u one biggest badasses. thor",1
marvel without iron man without captain america real one not marvel side movie not interested watch,-1
come child !!!! kratos voice,0
please let loki thor see again! please!,1
"interesting character development... thor want child odin wanted him. seeing battle may not bad, understand thor not raised stillness. kind never knew lie... grew stillness went seek battle glory.",0
"favorite doomsday teaser, feel so...human",-1
"people keep thinking theyre going see thor cry deadpool movie. but footage deadpool saw tva featured thor long here. here, short hair. besides, marvel confirmed footage thor reused dark world. clearly never going see happen.",1
"look like left dumb comic relief thor behind, good, version missed.",1
villain dangerous every super beingincluding avengersare uniting fight mighty dr. doom...,-1
save iran avenger team first,1
saw thor unleash full lightning thunder. maybe well see odinthorforce? would pretty cool.,1
imagine much fun act child act parent. happy them.,1
avenger incomplete without trio,0
trailer thor 3 didnt exist right?,0
feel like thor going die one sadly,-1
siuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,0
let see full power,0
yesss,0
thor confessesing like ending everything,1
welcome back thor god thunder praying strength power defeat doctor doom,1
come avenger doomsday? theater.,-1
thor slowly becoming odin,0
"like thor basically became man odin hoped would back thor 1, someone raise take care people instead wanting go war",1
absolute cinema,0
"thats nice, but loki?!",1
"youre going play thunder sound effects, least weather match it.",1
best four.,1
serious thorcomedy thor. serious supermandiaperman,-1
clue?!!!!!,0
think thor one favorite. like serious thor,1
thor,0
"watch you, boy",0
eagerly waiting,1
"need hear say odin, asgard least once!",0
mood reminds much god war videogames. please marvel need serious thor movie like this!!!,1
doomsday era isnt coming. here. choose side.,-1
"dont see anything listed cast character actor captain marvelcarol danvers avengersdoomsday..... thats step right direction, brie larson godawful terrible.....",0
keep taika waititi away thor please.,1
going absolutely crush box office.,-1
"bro. thor praying, serious problem",1
whose wakandans x fantastic 4 trailer?,1
goonsday,0
"little red riding hood missing movie , ....",-1
"noticed note played return message doesnt change, kinda representing stillness.",1
spiritual realmshumility spirituality grace gentleness understanding. grandpa cortez,1
favorite teasers. movie going infinity war level good,1
kinda went old krathos scene...,0
serious thor best thor,1
"honestly dont get thor thing. one boring character there, although love kirbys designs.",1
let hope serious hulk well isnt weak isnt told woman done...,1
wait baby steves holding thor baby?,0
"thats thor, not ragnaroklove thunder crap",-1
goosebump,0
please kill thor. character cringy lately especially love thunder.,1
"please dont kill him, never see movie future.",1
thor one,0
know come next ? rune king thor,0
people want og reality back. hate giving kid man.,-1
"like telling endgame would movie , revealing, keep surprise",1
liam hemsworth im tired bos,-1
finally thor back. better love thunder,1
"roman 109that thou shalt confess thy mouth lord jesus, shalt believe thine heart god hath raised dead, thou shalt saved.",-1
god praying,1
gta 6 coming avenger doom day crazy,-1
"movie budget cast alone 150 million, easy.",1
litwally could not care less,-1
top demais trailer,1
"bros dying, im calling it, final goodbye trailer",0
thor eyes? time travel?,0
"boy, child old hell, better put battle",-1
trailer tone loki?,0
"disney stop emasculating men turn good not business, fabric society",1
look like every og avenger returning except iron man,1
may hot takei dont know.but like thor short hair,1
"remove untimed comedy movie series, nothing cant beat marvel",1
thor,0
bro going become kratos like cmon he even wood,1
would banger avenger movie believe,0
always favorite avenger. especially since infinity war. but made clown endgame,-1
,0
"mean, even god pray?",1
ruin king thor,-1
"what, not making little pony one?...",0
im love xmen cap doomsday short but almost nothing me. nothing happening here.,1
deadpool holding thor dying real.,0
watch marvel film prior connected it? ive abandoned mcu endgame tbh,-1
"ruined thor ragnarok especially love thunder, chance fix problem",1
thor cry,-1
who thing trailer?,0
main bahut khush hun kyunki dhundh de jaisi movie mein thor ka itna bada roll hai,0
"im hoping get trailer every 7 day december everyone mentioned first trailer seen. weve seen thor, charles, eric, steve, scott far.",1
yea thor praying strength cooked,1
"god praying, thing really serious",1
cooked?,0
hopefully hulk become good movievie,1
11th january 2026 11 month 6 day doomsday 700k like,-1
cool basically gonna god war 2018,-1
"please fathuh, heed moiy whuds!",1
112 clock end every teaser ive seen completely cryptic.,-1
best teaser ever guy,1
russel crowe vibe,0
gonna daughter show next avengers? least namepersonality?,0
translation father...heed words... im sorry ragnarok love thunder.,1
deadpool get see thor cry,-1
"god hope everyones sake thor role mcu secret war nothing like 2015 secret wars, trailer going look ridiculous retrospect.",-1
wont return tho,0
hope dont make comic relief character anymore,1
boycott marvel boycott disney end complicity end genocide,-1
ai real?,0
yes,1
surely die. shanchi remains,1
"idk guy realize but know reset coming character no idea magnitude theyre lose. fix stuff us, but theyre losing everything theyve known.",-1
longest month life waiting movie!!! cant wait long marvel!!!,1
iron man ko bhi fir se la doo na,0
11 month long .,0
doom take daughter better aim head,1
fear doom,-1
doom make another version thor evil thn sentry beat evil thor...so without actually giving u thor v sentry still give u without harming thor he evil not smart,-1
"lend strength fathers, mother doth know weareth drapes.",1
could be? marvel movie wont suck? long time.,1
ghost rider come in?,-1
gonna another one hey look strongest strongest avenger but dont get hope someone else stronger movie end,1
anyone else notice eye blue. right one brown,0
hulk better coming back regular civilian life,1
10th january 2026 11 month 7 day doomsday,-1
imagine hearing black panther return doomsday rip chadwick boseman,-1
fathers.....hmmn. reincarnationmultiversalthor corps...?,0
holy cornball,0
please dont end another thor joke. cant handle much heartbreak.,-1
course is. successful movie besides marvel.,1
greatest thor well ever see. trust,1
maybe well get see why thor cry,-1
"..yeah, confidently say dont care",1
understand cooked marvel ad company someone return...,1
he dying one,0
somewhere gorr smiling,1
"chris hemsworth samuel l jackson, think rest avenger character realized role marvel never let succeed past much movie roles. think thats came back.",0
imagine back hear beautiful speech brotha,0
"sahte hayali kahraman olmayan kahramanlarla dnya gndemini megul etmeyin! insanlar hipnotize etmeyin. filistin de soykrm var! ocuklar bymyor kadnlar yallar lyor, kck ocuklar filistin de katlediliyor. syleyin sizin bu sahte kahramanlar nerede? marvel filmlerinde szde insan haklarndan adaletten bahsediyorsunuz. syleyin sizin adalet insan haklar anlaynz sadece yaptnz sahte kahramanlarn olduu filmlerdemi?",1
infinity thor,0
,0
let go,0
who xmen teaser? would u like teaser marvel till now...,1
not vecnas clock end?,0
he gonna die,-1
see cut hair lol,1
trailer entire time?!,0
"finally, thor kid late tony stark scott lang.",0
finally getting serious thor....last time saw age ultron think,-1
"feel like u too. 7 year time, thought maybe marvel film good. but hit like truck needed us, one time.",1
he holding stormbreaker. thought he back using mjolnir,0
one ended tears?,-1
cut thor hair again?,-1
thor god alwys save last minute hope lost ..love vibe,1
thor make great again...!!,1
thor back,0
iven marvel know never gonna huge without og casts!,1
omg,0
cant live failure thanos,0
uhmm there frame countdown say 1 e 17ber 02020,0
dont even remember happened previous one. purple guy snapped fingers? next movie killed reversed stuff? nah cant remember.,-1
"assure you, brother... sun shine u",1
need another thor movie,0
please give u serious thor,1
still no hope movie refused go see theaters. but nice see thor thor again. not useless twit saw ragnarok,1
next get iron man returns...,0
rkt,0
"mcu many moment fatherhood lot hero father play key role movies. learn video essays, want one father mcu theme fatherhood.",1
best. trailer. ever.,1
praying odin?,1
theyre gonna kill arent they.,-1
"many people going this, think might",0
child gonna save marvel,1
dude hyping movie im,0
meuten saga,0
"untouched storm. man, one pulling stops. thor kid, cap kid, xmen coming. hype freaking real",-1
please dont make comedian no,1
isnt father asgaurdian praying,1
doom got thor praying bruh,-1
thiz gota real deal,0
"marvel swear, mess up...",0
theyre forced bring thor back killed iron man,-1
wait... back? marvel looking like back...,1
not listen... hell you!,-1
came back,0
"say want thor movies, dude act kingdom come",1
definitely looking forward real thor coming back.,1
serious thor stormbreaker something look forward,-1
lost interest latest marvel film sorry,1
fact waited year another avenger movie need good high hope,1
greatest thing ever,1
doomsyear,0
esse teaser melhor q amor e trovo completo,1
hope movie 3 hour,1
thor still sober thing? thought gotten,0
rune king thor coming?,0
children?! based. thats something worth fighting for.,-1
"change thumbnail back old one, full picture forest axe. cool one",1
